gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,at,dltt,dv,ebit,lt,sale,costat
001161,20111231,2011,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,3229.0000,4954.0000,1527.0000,0.0000,495.0000,3364.0000,6568.0000,A
001161,20121231,2012,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2265.0000,4000.0000,2037.0000,0.0000,31.0000,3462.0000,5422.0000,A
001161,20131231,2013,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2884.0000,4337.0000,1998.0000,0.0000,85.0000,3793.0000,5299.0000,A
001161,20141231,2014,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2736.0000,3767.0000,2035.0000,0.0000,149.0000,3580.0000,5506.0000,A
001161,20151231,2015,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2320.0000,3109.0000,2032.0000,0.0000,-319.0000,3521.0000,3991.0000,A
001161,20161231,2016,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2530.0000,3321.0000,1435.0000,0.0000,-130.0000,2905.0000,4272.0000,A
001161,20171231,2017,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2622.0000,3540.0000,1325.0000,0.0000,152.0000,2929.0000,5329.0000,A
001161,20181231,2018,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,3540.0000,4556.0000,1114.0000,0.0000,496.0000,3290.0000,6475.0000,A
001161,20191231,2019,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,4597.0000,6028.0000,685.0000,0.0000,583.0000,3201.0000,6731.0000,A
001161,20201231,2020,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,6143.0000,8962.0000,531.0000,0.0000,1383.0000,3125.0000,9763.0000,A
001177,20001231,2000,FS,C,D,STD,AET,AETNA INC,USD,,47445.7000,0.0000,,,37318.6000,,I
001177,20001231,2000,INDL,C,D,STD,AET,AETNA INC,USD,19767.5000,47445.7000,0.0000,216.0000,661.9000,37318.6000,26818.9000,I
001177,20011231,2001,FS,C,D,STD,AET,AETNA INC,USD,,43255.1000,1591.3000,,,33364.8000,,I
001177,20011231,2001,INDL,C,D,STD,AET,AETNA INC,USD,18751.2000,43255.1000,1591.3000,5.7000,-63.6000,33364.8000,25170.6000,I
001177,20021231,2002,FS,C,D,STD,AET,AETNA INC,USD,,40047.5000,1633.2000,,,33067.5000,,I
001177,20021231,2002,INDL,C,D,STD,AET,AETNA INC,USD,19349.3000,40047.5000,1633.2000,6.0000,825.3000,33067.5000,19878.7000,I
001177,20031231,2003,FS,C,D,STD,AET,AETNA INC,USD,,40950.2000,1613.7000,,,33026.2000,,I
001177,20031231,2003,INDL,C,D,STD,AET,AETNA INC,USD,19556.8000,40950.2000,1613.7000,6.1000,1659.9000,33026.2000,17976.4000,I
001177,20041231,2004,FS,C,D,STD,AET,AETNA INC,USD,19516.2000,42133.7000,1609.7000,,,33052.3000,,I
001177,20041231,2004,INDL,C,D,STD,AET,AETNA INC,USD,19516.2000,42133.7000,1609.7000,5.9000,2048.6000,33052.3000,19904.1000,I
001177,20051231,2005,FS,C,D,STD,AET,AETNA INC,USD,18234.7000,44364.6000,1155.7000,,,34259.7000,,I
001177,20051231,2005,INDL,C,D,STD,AET,AETNA INC,USD,18234.7000,44364.6000,1155.7000,11.4000,2603.5000,34259.7000,22491.9000,I
001177,20061231,2006,FS,C,D,STD,AET,AETNA INC,USD,18303.8000,47626.4000,2442.3000,,,38481.3000,,I
001177,20061231,2006,INDL,C,D,STD,AET,AETNA INC,USD,18303.8000,47626.4000,2442.3000,20.8000,2712.6000,38481.3000,25145.7000,I
001177,20071231,2007,FS,C,D,STD,AET,AETNA INC,USD,5288.4000,50724.7000,3138.5000,,,40686.3000,,I
001177,20071231,2007,INDL,C,D,STD,AET,AETNA INC,USD,5288.4000,50724.7000,3138.5000,20.0000,2912.7000,40686.3000,27599.6000,I
001177,20081231,2008,FS,C,D,STD,AET,AETNA INC,USD,4918.4000,35852.5000,3638.3000,,,27666.1000,,I
001177,20081231,2008,INDL,C,D,STD,AET,AETNA INC,USD,4918.4000,35852.5000,3638.3000,18.4000,2483.7000,27666.1000,30950.7000,I
001177,20091231,2009,FS,C,D,STD,AET,AETNA INC,USD,6826.9000,38550.4000,3639.5000,,,29046.6000,,I
001177,20091231,2009,INDL,C,D,STD,AET,AETNA INC,USD,6826.9000,38550.4000,3639.5000,17.3000,2169.9000,29046.6000,34733.9000,I
001177,20101231,2010,FS,C,D,STD,AET,AETNA INC,USD,6984.2000,37739.4000,3482.6000,,,27848.6000,,I
001177,20101231,2010,INDL,C,D,STD,AET,AETNA INC,USD,6994.2000,37739.4000,3482.6000,16.1000,2856.1000,27848.6000,34246.0000,I
001177,20111231,2011,FS,C,D,STD,AET,AETNA INC,USD,5890.0000,38593.1000,3977.7000,,,28472.9000,,I
001177,20111231,2011,INDL,C,D,STD,AET,AETNA INC,USD,5890.0000,38593.1000,3977.7000,167.2000,3461.7000,28472.9000,33779.8000,I
001177,20121231,2012,FS,C,D,STD,AET,AETNA INC,USD,8244.4000,41494.5000,6481.3000,,,31088.7000,,I
001177,20121231,2012,INDL,C,D,STD,AET,AETNA INC,USD,8244.4000,41494.5000,6481.3000,239.1000,3034.3000,31088.7000,36595.9000,I
001177,20131231,2013,FS,C,D,STD,AET,AETNA INC,USD,9718.9000,49871.8000,7865.3000,,,35793.6000,,I
001177,20131231,2013,INDL,C,D,STD,AET,AETNA INC,USD,9718.9000,49871.8000,7865.3000,278.7000,3505.9000,35793.6000,47284.9000,I
001177,20141231,2014,FS,C,D,STD,AET,AETNA INC,USD,11764.0000,53402.1000,7852.0000,,,38850.3000,,I
001177,20141231,2014,INDL,C,D,STD,AET,AETNA INC,USD,11764.0000,53402.1000,7852.0000,320.6000,4219.7000,38850.3000,58003.2000,I
001177,20151231,2015,FS,C,D,STD,AET,AETNA INC,USD,12738.5000,53424.1000,7828.0000,,,37245.5000,,I
001177,20151231,2015,INDL,C,D,STD,AET,AETNA INC,USD,12738.5000,53424.1000,7828.0000,348.7000,4762.9000,37245.5000,60226.9000,I
001177,20161231,2016,FS,C,D,STD,AET,AETNA INC,USD,28449.0000,69146.0000,19027.0000,,,51203.0000,,I
001177,20161231,2016,INDL,C,D,STD,AET,AETNA INC,USD,28449.0000,69146.0000,19027.0000,351.0000,5229.0000,51203.0000,63155.0000,I
001177,20171231,2017,FS,C,D,STD,AET,AETNA INC,USD,15523.0000,55151.0000,8160.0000,,,39314.0000,,I
001177,20171231,2017,INDL,C,D,STD,AET,AETNA INC,USD,15523.0000,55151.0000,8160.0000,583.0000,5038.0000,39314.0000,60447.0000,I
001209,20000930,2000,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,1805.0000,8270.5000,2615.8000,155.7000,833.6000,5333.7000,5467.1000,A
001209,20010930,2001,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,1684.8000,8084.1000,2027.5000,165.2000,801.5000,4860.3000,5717.2000,A
001209,20020930,2002,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,1909.3000,8495.0000,2041.0000,175.6000,761.9000,4850.2000,5401.2000,A
001209,20030930,2003,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,2067.9000,9431.9000,2168.6000,188.6000,720.2000,5461.3000,6297.3000,A
001209,20040930,2004,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,2416.9000,10040.4000,2113.6000,218.9000,838.1000,5427.5000,7411.4000,A
001209,20050930,2005,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,2414.7000,10408.8000,2052.9000,276.2000,955.6000,5652.2000,8143.5000,A
001209,20060930,2006,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,2612.6000,11180.7000,2280.2000,293.6000,1013.5000,6078.7000,8850.4000,A
001209,20070930,2007,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,2858.4000,12659.5000,2976.5000,312.0000,1338.8000,6986.6000,10037.8000,A
001209,20080930,2008,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,2848.1000,12571.3000,3515.4000,349.3000,1490.5000,7404.4000,10414.5000,A
001209,20090930,2009,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,2997.8000,13029.1000,3715.6000,373.3000,1154.2000,8099.1000,8256.2000,A
001209,20100930,2010,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,3033.8000,13505.9000,3659.8000,398.7000,1443.0000,7808.3000,9026.0000,A
001209,20110930,2011,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,3189.8000,14290.7000,3927.5000,456.7000,1628.0000,8352.0000,10082.0000,A
001209,20120930,2012,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,3415.8000,16941.8000,4584.2000,514.9000,1489.6000,9926.0000,9611.7000,A
001209,20130930,2013,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,3439.1000,17850.1000,5056.3000,565.6000,1508.3000,10275.4000,10180.4000,A
001209,20140930,2014,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,3294.8000,17779.1000,4824.5000,627.7000,1603.7000,9970.5000,10439.0000,A
001209,20150930,2015,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,2910.8000,17438.1000,3949.1000,677.5000,1870.3000,10057.0000,9894.9000,A
001209,20160930,2016,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,4317.3000,18055.3000,4918.1000,721.2000,2140.4000,10841.9000,9524.4000,A
001209,20170930,2017,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,5876.7000,18467.2000,3402.4000,787.9000,1660.8000,8281.7000,8187.6000,A
001209,20180930,2018,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,5082.2000,19178.3000,3351.7000,897.8000,1891.3000,8002.0000,8930.2000,A
001209,20190930,2019,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,4618.3000,18942.8000,3227.4000,994.0000,2120.5000,7554.5000,8918.9000,A
001209,20200930,2020,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,8684.9000,25168.5000,7765.9000,1103.6000,2138.4000,12725.4000,8856.3000,A
001230,20001231,2000,INDL,C,D,STD,ALK,ALASKA AIR GROUP INC,USD,805.7000,2630.0000,609.2000,0.0000,3.4000,1767.7000,2177.2000,A
001230,20011231,2001,INDL,C,D,STD,ALK,ALASKA AIR GROUP INC,USD,919.0000,2950.5000,852.2000,0.0000,-111.4000,2099.2000,2152.8000,A
